"","Rk","Name","YoB","Votes","%vote","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","OPS+","W","L","ERA","ERA+","WHIP","G","GS","SV","IP","H","HR","BB","SO","Pos Summary","HoF"
"225","25","X-A.J. Burnett","1st","0","0.0%","29","20","17","28.8","21.7","25.3","61.5","249","493","20","56","4","19","0","20",".114",".151",".166",".317","-14","164","157","3.99","104","1.325","435","430","0","2731.1","2519","263","1100","2513","*1/H",0
"226","1","David Ortiz","1st","307","77.9%","171","55","20","55.3","35.2","45.3","53.4","2408","8640","1419","2472","541","1768","17","1319",".286",".380",".552",".931","141","","","","","","","","","","","","","","*D3H",1
"227","2","X-Barry Bonds","10th","260","66.0%","340","77","22","162.8","72.7","117.8","53.4","2986","9847","2227","2935","762","1996","514","2558",".298",".444",".607","1.051","182","","","","","","","","","","","","","","*78HD/9",0
"228","3","X-Roger Clemens","10th","257","65.2%","332","73","24","139.2","65.9","102.6","61.5","95","179","5","31","0","12","0","13",".173",".236",".207",".443","17","354","184","3.12","143","1.173","709","707","0","4916.2","4185","363","1580","4672","*1",0
"229","4","Scott Rolen HOF","5th","249","63.2%","99","40","17","70.1","43.6","56.9","56.3","2038","7398","1211","2077","316","1287","118","899",".281",".364",".490",".855","122","","","","","","","","","","","","","","*5/H",0
"230","5","X-Curt Schilling","10th","231","58.6%","171","46","20","79.5","48.6","64.1","61.5","402","773","39","117","0","29","1","25",".151",".178",".171",".348","-9","216","146","3.46","127","1.137","569","436","22","3261.0","2998","347","711","3116","*1/H",0
"231","6","Todd Helton HOF","4th","205","52.0%","175","59","17","61.8","46.6","54.2","53.4","2247","7962","1401","2519","369","1406","37","1335",".316",".414",".539",".953","133","","","","","","","","","","","","","","*3H/7D9",0
"232","7","Billy Wagner","7th","201","51.0%","107","24","16","27.7","19.8","23.7","32.5","810","20","1","2","0","1","0","1",".100",".143",".100",".243","-35","47","40","2.31","187","0.998","853","0","422","903.0","601","82","300","1196","*1",0
"233","8","Andruw Jones","5th","163","41.4%","109","34","17","62.7","46.4","54.6","58.2","2196","7599","1204","1933","434","1289","152","891",".254",".337",".486",".823","111","","","","","","","","","","","","","","*89H7D/3",0
"234","9","Gary Sheffield","8th","160","40.6%","158","61","22","60.5","38.0","49.3","56.7","2576","9217","1636","2689","509","1676","253","1475",".292",".393",".514",".907","140","","","","","","","","","","","","","","*9*7*5*D6H/3",0
"235","10","Alex Rodriguez","1st","135","34.3%","390","77","22","117.6","64.3","90.9","55.5","2784","10566","2021","3115","696","2086","329","1338",".295",".380",".550",".930","140","","","","","","","","","","","","","","*6*5DH/3",0
"236","11","Jeff Kent","9th","129","32.7%","123","51","17","55.4","35.8","45.6","57.1","2298","8498","1320","2461","377","1518","94","801",".290",".356",".500",".855","123","","","","","","","","","","","","","","*453H/D6",0
"237","12","Manny Ramirez","6th","114","28.9%","226","69","19","69.3","39.9","54.6","53.4","2302","8244","1544","2574","555","1831","38","1329",".312",".411",".585",".996","154","","","","","","","","","","","","","","*7*9*DH",0
"238","13","Omar Vizquel","5th","94","23.9%","120","42","24","45.6","26.8","36.2","55.5","2968","10586","1445","2877","80","951","404","1028",".272",".336",".352",".688","82","","","","","","","","","","","","","","*65H4/D379",0
"239","14","X-Sammy Sosa","10th","73","18.5%","202","52","18","58.6","43.8","51.2","56.7","2354","8813","1475","2408","609","1667","234","929",".273",".344",".534",".878","128","","","","","","","","","","","","","","*98DH/7",0
"240","15","Andy Pettitte","4th","42","10.7%","128","44","18","60.2","34.1","47.2","61.5","108","196","6","27","1","13","0","6",".138",".163",".184",".346","-10","256","153","3.85","117","1.351","531","521","0","3316.0","3448","288","1031","2448","*1/H",0
"241","16","Jimmy Rollins","1st","37","9.4%","121","42","17","47.6","32.6","40.1","55.5","2275","9294","1421","2455","231","936","470","813",".264",".324",".418",".743","95","","","","","","","","","","","","","","*6H/D4",0
"242","17","Bobby Abreu","3rd","34","8.6%","95","54","18","60.2","41.6","50.9","56.7","2425","8480","1453","2470","288","1363","400","1476",".291",".395",".475",".870","128","","","","","","","","","","","","","","*9DH7/8",0
"243","18","Mark Buehrle","2nd","23","5.8%","52","31","16","59.1","35.8","47.4","61.5","55","125","4","9","1","3","0","2",".072",".087",".112",".199","-47","214","160","3.81","117","1.281","518","493","0","3283.1","3472","361","734","1870","*1",0
"244","19","Torii Hunter","2nd","21","5.3%","58","34","19","50.7","30.8","40.7","58.2","2372","8857","1296","2452","353","1391","195","661",".277",".331",".461",".793","110","","","","","","","","","","","","","","*8*9DH/7",0
"245","20","X-Joe Nathan","1st","17","4.3%","98","29","16","26.7","21.7","24.2","32.5","168","63","4","10","2","4","0","3",".159",".194",".302",".496","27","64","34","2.87","151","1.120","787","29","377","923.1","690","84","344","976","*1",0
"246","21","X-Tim Hudson","2nd","12","3.0%","66","42","17","57.9","38.3","48.1","61.5","297","613","35","98","4","42","0","26",".160",".196",".214",".410","10","222","133","3.49","120","1.239","482","479","0","3126.2","2957","248","917","2080","*1/HD",0
"247","22","X-Tim Lincecum","1st","9","2.3%","66","17","10","19.5","23.9","21.7","61.5","262","474","26","53","0","19","0","34",".112",".171",".129",".300","-16","110","89","3.74","104","1.293","278","270","1","1682.0","1506","147","669","1736","1/H",0
"248","23","X-Ryan Howard","1st","8","2.0%","99","25","13","14.7","19.2","17.0","53.4","1572","5707","848","1475","382","1194","12","709",".258",".343",".515",".859","125","","","","","","","","","","","","","","*3H/D",0
"249","24","X-Mark Teixeira","1st","6","1.5%","109","33","14","50.6","38.0","44.3","53.4","1862","6936","1099","1862","409","1298","26","918",".268",".360",".509",".869","126","","","","","","","","","","","","","","*3D/H957",0
"250","25","X-Jonathan Papelbon","1st","5","1.3%","80","23","12","23.3","19.5","21.4","32.5","306","0","0","0","0","0","0","0","","","","","","41","36","2.44","177","1.043","689","3","368","725.2","572","57","185","808","*1",0
"251","26","X-Justin Morneau","1st","5","1.3%","56","20","14","27.0","24.4","25.7","53.4","1545","5699","772","1603","247","985","5","573",".281",".348",".481",".828","120","","","","","","","","","","","","","","*3DH",0
"252","27","X-A.J. Pierzynski","1st","2","0.5%","108","30","19","23.8","18.1","20.9","44.3","2059","7290","807","2043","188","909","15","308",".280",".319",".420",".739","94","","","","","","","","","","","","","","*2HD",0
"253","28","X-Prince Fielder","1st","2","0.5%","85","27","12","23.8","24.9","24.4","53.4","1611","5821","862","1645","319","1028","18","847",".283",".382",".506",".887","134","","","","","","","","","","","","","","*3DH",0
"254","29","X-Jake Peavy","1st","0","0.0%","56","27","15","39.2","30.7","35.0","61.5","278","519","48","87","3","33","0","22",".168",".205",".222",".427","17","152","126","3.63","110","1.196","388","377","0","2377.0","2134","259","708","2207","*1/H",0
"255","30","X-Carl Crawford","1st","0","0.0%","53","22","15","39.1","32.3","35.7","53.4","1716","6655","998","1931","136","766","480","377",".290",".330",".435",".765","105","","","","","","","","","","","","","","*7H8D",0
"256","1","Scott Rolen","6th","297","76.3%","99","40","17","70.1","43.6","56.9","56.3","2038","7398","1211","2077","316","1287","118","899",".281",".364",".490",".855","122","","","","","","","","","","","","","","*5/H",1
"257","2","Todd Helton HOF","5th","281","72.2%","175","59","17","61.8","46.6","54.2","53.4","2247","7962","1401","2519","369","1406","37","1335",".316",".414",".539",".953","133","","","","","","","","","","","","","","*3H/7D9",0
"258","3","Billy Wagner","8th","265","68.1%","107","24","16","27.7","19.8","23.7","32.5","810","20","1","2","0","1","0","1",".100",".143",".100",".243","-35","47","40","2.31","187","0.998","853","0","422","903.0","601","82","300","1196","*1",0
"259","4","Andruw Jones","6th","226","58.1%","109","34","17","62.7","46.4","54.6","58.2","2196","7599","1204","1933","434","1289","152","891",".254",".337",".486",".823","111","","","","","","","","","","","","","","*89H7D/3",0
"260","5","Gary Sheffield","9th","214","55.0%","158","61","22","60.5","38.0","49.3","56.7","2576","9217","1636","2689","509","1676","253","1475",".292",".393",".514",".907","140","","","","","","","","","","","","","","*9*7*5*D6H/3",0
"261","6","Carlos Beltrán","1st","181","46.5%","126","52","20","70.1","44.4","57.3","58.2","2586","9768","1582","2725","435","1587","312","1084",".279",".350",".486",".837","119","","","","","","","","","","","","","","*8*9*DH/73",0
"262","7","X-Jeff Kent","10th","181","46.5%","123","51","17","55.4","35.8","45.6","57.1","2298","8498","1320","2461","377","1518","94","801",".290",".356",".500",".855","123","","","","","","","","","","","","","","*453H/D6",0
"263","8","Alex Rodriguez","2nd","139","35.7%","390","77","22","117.6","64.3","90.9","55.5","2784","10566","2021","3115","696","2086","329","1338",".295",".380",".550",".930","140","","","","","","","","","","","","","","*6*5DH/3",0
"264","9","Manny Ramirez","7th","129","33.2%","226","69","19","69.3","39.9","54.6","53.4","2302","8244","1544","2574","555","1831","38","1329",".312",".411",".585",".996","154","","","","","","","","","","","","","","*7*9*DH",0
