"","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","Batter_G","AB","R","Batter_H","Batter_HR","RBI","SB","Batter_BB","BA","OBP","SLG","OPS","OPS+","HoF"
"61",156,57,22,73.1,41.5,57.3,53.4,2543,8422,1583,2328,612,1699,19,1747,0.276,0.402,0.554,0.956,147,1
"62",121,42,17,47.6,32.6,40.1,55.5,2275,9294,1421,2455,231,936,470,813,0.264,0.324,0.418,0.743,95,0
"63",92,41,15,55.2,39,47.1,44.3,1858,6930,1018,2123,143,923,52,939,0.306,0.388,0.439,0.827,124,1
"64",90,45,18,56.3,32.9,44.6,58.2,2490,9736,1668,2769,235,1139,408,1003,0.284,0.352,0.433,0.785,104,0
"65",98,40,17,42.7,32.6,37.6,44.3,1829,6092,900,1664,275,1065,20,936,0.273,0.374,0.474,0.848,121,0
"66",78,26,15,36.7,38.2,37.5,56.7,1798,6051,1022,1496,344,975,70,1032,0.247,0.361,0.475,0.836,124,0
"67",76,36,16,37.5,29.3,33.4,55.5,1877,7552,1180,2138,145,719,517,589,0.283,0.334,0.427,0.761,103,0
"68",63,23,14,17.3,16.6,17,58.2,1994,7525,1075,2217,18,517,614,464,0.295,0.343,0.361,0.704,84,0
"69",56,20,14,27,24.4,25.7,53.4,1545,5699,772,1603,247,985,5,573,0.281,0.348,0.481,0.828,120,0
"70",235,61,22,83.8,54,68.9,58.2,2671,9801,1662,2781,630,1836,184,1312,0.284,0.37,0.538,0.907,136,1
"71",29,23,10,32.4,31.2,31.8,53.4,1061,3749,653,1053,150,618,26,539,0.281,0.382,0.478,0.861,124,0
"72",98,44,15,51.9,39.2,45.6,53.4,1879,6491,1146,1905,366,1234,86,1201,0.293,0.406,0.537,0.943,144,0
"73",148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,1
"74",148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,0
"75",61,31,15,29.1,24,26.6,57.1,1720,6510,1001,1889,28,443,370,800,0.29,0.368,0.351,0.719,92,0
"76",114,42,15,38.8,32,35.4,56.7,1848,6978,1076,2156,294,1236,94,651,0.309,0.369,0.502,0.871,125,0
"77",226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,0
"78",49,25,15,26.5,20.7,23.6,57.1,1802,7052,946,2040,90,640,133,364,0.289,0.332,0.393,0.725,90,0
"79",170,42,16,62.1,41.9,52,53.4,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,0
"80",109,33,14,50.6,38,44.3,53.4,1862,6936,1099,1862,409,1298,26,918,0.268,0.36,0.509,0.869,126,0
"81",110,41,15,44.5,34.3,39.4,53.4,1903,7009,1157,2096,316,1220,108,802,0.299,0.379,0.51,0.889,132,0
"82",9,20,19,14.1,12.9,13.5,56.7,1895,5204,770,1366,265,899,30,717,0.262,0.356,0.477,0.832,117,0
"83",19,19,13,28.2,26,27.1,56.3,1556,5422,794,1503,171,754,93,520,0.277,0.35,0.431,0.781,105,0
"84",26,19,15,17.8,15.4,16.6,56.7,1536,5488,809,1522,197,794,75,527,0.277,0.344,0.461,0.805,113,0
"85",112,36,14,24.7,21.4,23.1,55.5,1970,7918,1137,2375,185,1030,90,575,0.3,0.346,0.441,0.787,104,0
"86",149,44,16,47.1,36.6,41.9,55.5,2171,8434,1230,2407,307,1302,85,553,0.285,0.336,0.456,0.791,108,0
"87",13,24,17,46.7,32.7,39.7,58.2,1955,6839,1064,1700,278,968,297,867,0.249,0.338,0.444,0.782,106,0
"88",41,23,13,24.8,23.5,24.1,56.3,1601,5813,771,1619,223,952,30,548,0.279,0.342,0.464,0.805,108,0
"89",17,25,12,26.3,22,24.2,44.3,1392,4572,697,1125,267,744,39,650,0.246,0.346,0.475,0.821,117,0
"90",207,62,16,59.5,43.1,51.3,44.3,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,1
"91",207,62,16,59.5,43.1,51.3,44.3,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,143,0
"92",49,28,16,24.8,21.8,23.3,53.4,1454,5188,759,1540,215,909,53,522,0.297,0.366,0.486,0.851,118,0
"93",14,19,12,21.4,23.5,22.5,56.7,1527,5369,805,1338,245,803,13,817,0.249,0.351,0.447,0.799,113,0
"94",113,41,14,44.3,43.1,43.7,55.5,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124,0
"95",120,42,24,45.6,26.8,36.2,55.5,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,0
"96",46,25,15,21.3,20,20.7,55.5,1985,7562,985,2055,123,854,216,514,0.272,0.317,0.39,0.707,84,0
"97",21,18,11,30.9,27.3,29.1,57.1,1345,4825,648,1319,93,542,85,483,0.273,0.341,0.412,0.752,97,0
"98",20,24,12,18.9,16.6,17.7,53.4,1640,5503,767,1393,292,976,7,932,0.253,0.361,0.472,0.834,116,0
"99",80,36,18,28.1,21.5,24.8,53.4,2349,8393,1162,2340,439,1412,9,921,0.279,0.354,0.486,0.841,118,0
"100",42,26,16,41.9,32.4,37.1,57.1,1927,7214,1009,2142,104,723,81,429,0.297,0.343,0.397,0.74,95,0
"101",85,27,12,23.8,24.9,24.4,53.4,1611,5821,862,1645,319,1028,18,847,0.283,0.382,0.506,0.887,134,0
"102",54,32,14,39.5,30.8,35.1,55.5,1614,6477,1063,1817,113,587,314,643,0.281,0.346,0.402,0.748,96,0
"103",20,19,13,27.5,24.6,26.1,58.2,1717,6186,863,1759,110,662,215,526,0.284,0.343,0.416,0.759,99,0
"104",38,27,19,20.9,20.1,20.5,53.4,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111,0
"105",31,20,15,18.2,16.8,17.5,55.5,1652,5721,745,1576,186,756,23,450,0.275,0.328,0.433,0.762,99,0
"106",99,25,13,14.7,19.2,17,53.4,1572,5707,848,1475,382,1194,12,709,0.258,0.343,0.515,0.859,125,0
"107",202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,0
